Var1,Var2,Corr,Abs_Corr
pvoixNUPratio,pvoixDVDratio,-0.18402449016720393,0.18402449016720393
pvoixLRratio,pvoixUDIratio,-0.18300279294963456,0.18300279294963456
capitalratio2022,perimmigre2022,0.1829422806237136,0.1829422806237136
pvoteCGratio,pvoteCratio,-0.1822755192808924,0.1822755192808924
pvoteDratio,pvoixLRratio,-0.18111035011683313,0.18111035011683313
psup2022,pvoteDCDratio,-0.17977768893234378,0.17977768893234378
nmencomp,prixm2ratio2022,0.1793999272240827,0.1793999272240827
pvoixRNratio,pvoteCratio,-0.17875331034170247,0.17875331034170247
popagglo2022,revratio2022,0.17844224495228786,0.17844224495228786
pvoixDVGratio,pvoixLRratio,-0.17813681001452955,0.17813681001452955
pvoteCDratio,pvoixECOratio,-0.17641770811629867,0.17641770811629867
pbac2022,pvoixRNratio,-0.17632248175584964,0.17632248175584964
pvoixDVGratio,pparratio,0.17615761867059804,0.17615761867059804
pvoixDVGratio,pabs,-0.17615761646024428,0.17615761646024428
pvoteCGratio,pvoixNUPratio,-0.17542615482364754,0.17542615482364754
perrsa2021,pvoteGratio,0.17478379444761682,0.17478379444761682
pvoteGCGratio,perrsa2021,0.17420575269375432,0.17420575269375432
pvoixDVGratio,pvoixRNratio,-0.17385986574447745,0.17385986574447745
pvoteCGratio,pvoixECOratio,0.17323902172521483,0.17323902172521483
pempl2022,pindp2022,-0.1727771741545146,0.1727771741545146
pvoixNUPratio,perrsa2021,0.17209051924849503,0.17209051924849503
peretr2022,pvoixRNratio,-0.17136225094051444,0.17136225094051444
ppint2022,pindp2022,-0.1691443465097037,0.1691443465097037
pvoteDratio,psup2022,-0.16685225457704864,0.16685225457704864
pvoixNUPratio,pvoixREGratio,-0.16673367847600068,0.16673367847600068
perimmigre2022,pvoixRNratio,-0.1664346307220867,0.1664346307220867
pparratio,pvoteGCGratio,0.1662700385640613,0.1662700385640613
pvoteGCGratio,pabs,-0.16627003531983117,0.16627003531983117
pcadr2022,paind2022,-0.16594920043817724,0.16594920043817724
pvoteDCDratio,part_etranger,-0.1659161100279161,0.1659161100279161
prixm2ratio2022,pvoteTGratio,0.16568380591773252,0.16568380591773252
pvoteTDratio,prixm2ratio2022,-0.1656838055225834,0.1656838055225834
pvoteCratio,pvoteGCGratio,-0.16567994925377344,0.16567994925377344
pbac2022,paica2022,0.16480282345209296,0.16480282345209296
prixm2ratio2022,pagri2022,-0.16472141159567105,0.16472141159567105
revratio2022,perrsa2021,-0.16465936285518643,0.16465936285518643
pvoteCGratio,pvoteGratio,-0.16440586441921073,0.16440586441921073
pouvr2022,capitalratio2022,-0.16435774166681238,0.16435774166681238
pvoixREGratio,pvoteCGratio,0.16421081985038166,0.16421081985038166
prixm2ratio2022,pvoteDratio,-0.16401478429779476,0.16401478429779476
pvoteCratio,pvoteDratio,-0.16399468908903622,0.16399468908903622
psup2022,pvoteTDratio,-0.1631681300473831,0.1631681300473831
pvoteTGratio,psup2022,0.16316812968123565,0.16316812968123565
part_francais,pinsratio,0.1626347961131289,0.1626347961131289
pvoixECOratio,revratio2022,0.16066954149322096,0.16066954149322096
pagri2022,capitalratio2022,-0.16035516637548172,0.16035516637548172
pouem2022,capitalratio2022,-0.16010809300056225,0.16010809300056225
pvoixAUGratio,pvoteGratio,0.15977050397577672,0.15977050397577672
prixm2ratio2022,pouvr2022,-0.15903842449991368,0.15903842449991368
perrsa2021,pvoteCDratio,-0.15881750429655556,0.15881750429655556
pvoixENSratio,pvoteGCGratio,-0.15867063263061826,0.15867063263061826
pouvr2022,pagri2022,-0.1576702373266429,0.1576702373266429
prixm2ratio2022,part_etranger,0.15763469963562435,0.15763469963562435
pvoixRECratio,capitalratio2022,0.15733433224751123,0.15733433224751123
pvoteGratio,pvoixDVGratio,-0.15685652996105032,0.15685652996105032
pvoixRNratio,paica2022,-0.1567641569292062,0.1567641569292062
pvoteDCDratio,pbac2022,-0.1565032387072257,0.1565032387072257
pempl2022,psup2022,-0.15580607993867476,0.15580607993867476
pouem2022,revratio2022,-0.15553854360977537,0.15553854360977537
pvoteDratio,pbac2022,-0.15522783620822023,0.15522783620822023
peretr2022,pvoteGratio,0.15520468287496952,0.15520468287496952
perimmigre2022,pvoteGratio,0.15397434916824962,0.15397434916824962
pparratio,pvoteCGratio,0.15329017771083825,0.15329017771083825
pvoteCGratio,pabs,-0.15329017557974658,0.15329017557974658
pcadr2022,popagglo2022,0.15293094809706786,0.15293094809706786
pouem2022,pparratio,-0.15276859868234371,0.15276859868234371
pouem2022,pabs,0.15276859791377745,0.15276859791377745
prixm2ratio2022,pvoixRECratio,0.15230188392110866,0.15230188392110866
pvoixRECratio,revratio2022,0.15220653384697275,0.15220653384697275
pvoteDCDratio,pvoixECOratio,-0.1521788097997074,0.1521788097997074
pvoixNUPratio,pvoixDVGratio,-0.15162098810008098,0.15162098810008098
