dep,codecommune,ppropri2022,nlogement2022,npropri2022,perpropri2022
2,2054,.89622641,212,190,.97512496
2,2055,.89999998,40,36,.97805744
2,2056,.96153843,78,75,.99886805
2,2057,.73549485,586,431,.72277433
2,2058,.78729284,362,285,.81358248
2,2059,.46381578,1216,564,.3467181
2,2060,.85365856,123,105,.92691088
2,2061,.78181821,110,86,.80422795
2,2062,.92063493,63,58,.99002379
2,2063,.83536583,164,137,.89923614
2,2064,.49861956,1811,903,.39887607
2,2065,.78125,256,200,.80343223
2,2066,.89333332,75,67,.97275847
2,2067,.87640452,89,78,.95654362
2,2068,.85714287,42,36,.93203127
2,2069,.81132078,53,43,.85621291
2,2070,.80327868,183,147,.84189051
2,2071,.83161515,291,242,.89320654
2,2072,.84415585,77,65,.91315299
2,2073,.74761903,210,157,.74369788
2,2074,.86976743,215,187,.94889826
2,2075,.90909094,88,80,.98404413
2,2076,.90140843,71,64,.97888881
2,2077,.85869563,184,158,.93464369
2,2078,.75,64,48,.74890298
2,2079,.95161289,62,59,.99793237
2,2080,.6948052,154,107,.66181105
2,2081,.93532336,201,188,.99496877
2,2082,.81034482,58,47,.85471398
2,2083,.88778877,303,269,.96804577
2,2084,.88181818,110,97,.96244687
2,2085,.94999999,320,304,.99782473
2,2086,.89303482,402,359,.97253549
2,2087,.5,10,5,.40102181
2,2088,.68965518,29,20,.6552971
2,2089,.89174312,545,486,.97133768
2,2090,.8108108,111,90,.85532999
2,2091,.54545456,44,24,.45910984
2,2092,,0,0,1.0000014
2,2093,.69327074,639,443,.66031325
2,2094,.81862748,204,167,.86951041
2,2095,.57410425,2456,1410,.49679798
2,2096,.91176468,68,62,.98543704
2,2097,.87878788,99,87,.9590866
2,2098,.86705202,173,150,.94572031
2,2099,.91578948,95,87,.98778206
2,2100,.43396226,53,23,.28277579
2,2101,.80612242,98,79,.84665656
2,2102,.76190478,84,64,.76806843
2,2103,.55503142,636,353,.47120991
2,2104,.84782606,46,39,.91877455
2,2105,.93814433,97,91,.99574149
2,2106,.79452056,292,232,.82681721
2,2107,.86363637,44,38,.94149971
2,2108,.87671232,73,64,.95697314
2,2109,.84579438,214,181,.91562605
2,2110,.60548723,1057,640,.53460854
2,2111,.8959108,269,241,.97488707
2,2112,.87984496,258,227,.96033072
2,2113,,0,0,1.0000014
2,2114,.77777779,594,462,.79689503
2,2115,.74757284,103,77,.74355781
2,2116,.9130435,69,63,.98635149
2,2117,.77777779,27,21,.79706407
2,2118,.92156863,51,47,.9903872
2,2119,.86274511,153,132,.94036758
2,2120,.8108108,74,60,.85534847
2,2121,.77391303,115,89,.78971934
2,2122,.83999997,25,21,.90665334
2,2123,.78787881,132,104,.81470162
2,2124,.88852459,305,271,.96859205
2,2125,.83999997,75,63,.90650791
2,2126,.69741696,271,189,.66561955
2,2127,.71910113,89,64,.69771188
2,2128,.71521455,769,550,.69262612
2,2129,.64285713,14,9,.5867396
2,2130,.84210527,76,64,.91001475
2,2131,.8307873,851,707,.89182884
2,2132,.97560978,82,80,.99965096
2,2133,.77227724,202,156,.78694469
2,2134,.77227724,404,312,.78695732
2,2135,.6987952,498,348,.66721153
2,2136,.91666669,60,55,.98824996
2,2137,.65306121,49,32,.60244238
2,2138,.8918919,74,66,.97149628
2,2139,.90640396,203,184,.98223609
2,2140,.83957219,187,157,.90586674
2,2141,.51422322,914,470,.42074379
2,2142,.9741379,116,113,.99958974
2,2143,.73404253,94,69,.72029996
2,2144,.73469388,49,36,.72130591
2,2145,.92041522,289,266,.98990154
2,2146,.81818181,44,36,.86878061
2,2147,.85000002,60,51,.92180997
2,2148,.79646015,113,90,.82954377
2,2149,.55000001,20,11,.46360835
2,2150,.8214286,28,23,.87427658
2,2151,.86764705,68,59,.94622564
2,2152,.66666669,33,22,.62298721
2,2153,.87192118,203,177,.95167071
2,2154,.84821427,112,95,.91918278
2,2155,.90361446,83,75,.98048592
2,2156,.81318682,91,74,.85935807
2,2157,.82890856,339,281,.88813519
2,2158,.58015269,131,76,.50404185
2,2159,.80800003,125,101,.84990776
