dep;codecommune;nfoyisf2017;mmoyfortune2017;pisf2017;perpisf2017;misf2017;permisf2017;pop2017
77;77288;105;2759449;.0026229017;.17444901;7237.7632;.23285325;40032
77;77350;92;2641116;.0045251097;.49798241;11951.339;.50643867;20331
77;77373;75;2162208;.0019869129;.096340783;4296.1191;.075664237;37747
78;78126;520;2918023;.024802061;.93444932;72372.984;.93551123;20966
78;78146;702;2620758;.02320431;.92847049;60812.883;.9206326;30253
78;78158;744;2599059;.0238737;.93236864;62049.156;.92409825;31164
78;78172;115;2327748;.0032081683;.25380862;7467.8071;.24071692;35846
78;78208;68;2042951;.0026771654;.18419917;5469.3179;.13419801;25400
78;78297;66;1948231;.0023050327;.1407882;4490.7358;.086606428;28633
78;78311;152;2068877;.0047276914;.55673146;9781.0117;.37168375;32151
78;78358;631;2571855;.026659343;.94161218;68563.969;.93283772;23669
78;78361;91;2592839;.0020542224;.10801308;5326.2681;.1217389;44299
78;78423;125;2054909;.0037960461;.35614312;7800.5293;.2570222;32929
78;78490;119;2322430;.0037875171;.35466555;8796.2432;.30633503;31419
78;78498;151;2255603;.0040387288;.39655015;9109.7695;.32799715;37388
78;78517;246;2395477;.0092010768;.80352944;22040.969;.74975193;26736
78;78551;1255;2804097;.028042812;.94455808;78634.766;.9395119;44753
78;78586;170;2170122;.0032713069;.26161045;7099.1348;.22100694;51967
78;78640;132;2029017;.0059901979;.62980318;12154.213;.51033682;22036
78;78646;2728;2851063;.031771913;.95993823;90583.727;.95993805;85862
79;79191;222;2811166;.0037814912;.34732491;10630.399;.41397321;58707
80;80001;72;2594570;.0031378018;.24407557;8141.2466;.26962933;22946
80;80021;512;2774534;.003819271;.36215842;10596.697;.41133896;134057
81;81004;209;2382995;.0042679193;.43491307;10170.43;.38878253;48970
81;81065;149;2329801;.0035786338;.31775829;8337.5049;.27895963;41636
82;82121;257;2584540;.0042262785;.4300383;10922.986;.44183251;60810
83;83050;207;2277359;.0052618198;.58778334;11983.053;.50820386;39340
83;83061;400;2349882;.0075941677;.73135364;17845.398;.69813222;52672
83;83062;102;2341742;.0040595401;.39767757;9506.3955;.34108201;25126
83;83069;554;2372786;.0099661797;.82013679;23647.611;.76481134;55588
83;83118;823;2534470;.023486102;.93097025;59524.82;.91388118;35042
83;83126;171;2131870;.0026745496;.18305944;5701.792;.14948858;63936
83;83129;259;2139974;.0078893658;.73521286;16883.039;.68272215;32829
83;83137;692;2413241;.0040243557;.39487249;9711.7393;.35938725;171953
83;83144;106;2110101;.0044381176;.4656727;9364.876;.33640316;23884
84;84007;341;2607636;.0037097072;.33332455;9673.5664;.35167152;91921
84;84031;136;2759678;.004804126;.55946267;13257.841;.58894241;28309
84;84035;94;2329990;.0035283961;.30800644;8221.1279;.27709138;26641
84;84087;100;2232871;.0034579341;.29497346;7721.1211;.25554463;28919
85;85047;138;2558756;.0066918824;.69929165;17122.895;.68364745;20622
85;85191;174;2668694;.0032001766;.25220016;8540.292;.29037988;54372
86;86066;92;2545732;.0028894471;.21695903;7355.7583;.23687343;31840
86;86194;310;2543188;.0035111166;.30681103;8929.4297;.31731305;88291
87;87085;500;3118850;.0037828637;.35325575;11798.185;.49602419;132175
88;88160;123;2977968;.0038752363;.37384349;11540.33;.4824346;31740
89;89024;138;2423777;.0039845239;.38288206;9657.5977;.34754691;34634
89;89387;104;2736683;.0040100249;.38524744;10974.167;.44299623;25935
90;90010;112;2809208;.0023501762;.14462687;6602.1338;.19771099;47656
91;91027;73;2441131;.0021253675;.11600181;5188.3008;.11276345;34347
91;91103;51;2307521;.0019224969;.085877009;4436.2021;.085321635;26528
91;91114;166;2401319;.0064669447;.68461245;15529.197;.65075582;25669
91;91174;53;2803198;.0010332995;.013635721;2896.5432;.023185292;51292
91;91201;128;2474554;.0044393577;.46696648;10985.431;.44429001;28833
91;91223;66;2533716;.0026303204;.17762621;6664.4849;.20002334;25092
91;91272;385;2243196;.018008325;.90557563;40396.203;.88972425;21379
91;91345;51;3033181;.0024032798;.15920857;7289.5825;.23544474;21221
91;91377;102;2142458;.0020065706;.098621719;4298.9932;.077945173;50833
91;91421;162;2462693;.0068138801;.70154101;16780.494;.68124908;23775
91;91434;75;2431240;.0035869721;.3186965;8720.79;.29972315;20909
91;91477;249;3663182;.0070113195;.7061165;25683.74;.8199982;35514
91;91549;154;2385924;.0042533213;.43166295;10148.102;.38548508;36207
91;91589;124;2138970;.0033941916;.28847376;7260.0737;.23449253;36533
91;91687;64;1983768;.0020583412;.10940825;4083.2712;.059525736;31093
91;91691;131;2243349;.0045127287;.49707013;10123.625;.38386044;29029
92;92002;860;2307096;.013744606;.87275875;31710.125;.85119551;62570
92;92004;807;2502598;.0094728321;.81490821;23706.689;.76863402;85191
92;92007;69;2059583;.0016862995;.053215235;3473.0737;.046561558;40918
92;92009;354;2387518;.012535854;.85151285;29929.578;.83904678;28239
92;92012;3914;2954863;.032597382;.96532589;96320.789;.96799809;120071
92;92014;483;2622848;.02337059;.92939788;61297.508;.92269987;20667
92;92019;317;2618242;.009523523;.81640178;24934.889;.79524702;33286
92;92020;261;2395131;.0069870166;.70452291;16734.82;.68018228;37355
92;92023;701;2600416;.013233656;.86224961;34413.012;.87170309;52971
92;92024;131;2263898;.0021450794;.12090434;4856.2412;.098383181;61070
92;92025;463;2470270;.0054357396;.59686279;13427.745;.59369242;85177
92;92026;1137;2361265;.013913533;.88406312;32853.539;.86067933;81719
92;92032;281;2136306;.011439505;.83564317;24438.283;.78499317;24564
92;92035;353;2427495;.012101889;.84207463;29377.275;.83603287;29169
92;92040;911;2484814;.013308791;.86532116;33069.867;.86527109;68451
92;92044;1374;3105437;.021342363;.91800618;66277.367;.93177569;64379
92;92046;161;2391552;.0052408855;.58371943;12533.85;.53623849;30720
92;92048;1015;2710995;.02238049;.92227989;60673.398;.91927516;45352
92;92049;454;2558496;.009033028;.76391518;23110.967;.75865239;50260
92;92050;263;2154642;.0027653647;.20813915;5958.3706;.17681503;95105
92;92051;5834;6026825;.096651815;.99585104;582503.56;.99769521;60361
92;92060;203;2316036;.0069759451;.70284677;16156.54;.66743284;29100
92;92062;371;2446901;.0083100013;.7467649;20333.75;.72442681;44645
92;92063;1638;2648842;.020959156;.91338462;55517.492;.91136473;78152
92;92064;1358;3272585;.045307443;.97939533;148272.45;.98203593;29973
92;92072;662;2742750;.028161824;.94561291;77240.844;.93750381;23507
92;92073;643;2600892;.013322559;.86748683;34650.539;.87386876;48264
92;92075;383;2369636;.013812254;.88039625;32730.016;.85701245;27729
93;93001;50;2387678;.00057887123;.0088625047;1382.1581;.0088625047;86375
93;93005;159;2311056;.0018544437;.072717503;4285.7231;.072035059;85740
93;93006;64;2263788;.0017940237;.066085905;4061.2893;.058130559;35674
93;93029;86;2337646;.0012058667;.023185292;2818.8894;.020883761;71318
93;93031;53;2191916;.00096216687;.011334188;2108.989;.011334188;55084
93;93032;118;2305261;.0029981199;.22737196;6911.4487;.20440798;39358
93;93045;145;2822833;.0062920372;.67511976;17761.371;.69420928;23045
93;93046;106;2130236;.0023853995;.15155202;5081.4639;.11122226;44437
93;93047;53;2307578;.0019788672;.094647028;4566.3906;.087808214;26783
93;93048;262;2383076;.0023840505;.14955808;5681.3735;.14661969;109897
93;93049;75;2141589;.0035460992;.31468579;7594.2871;.24777332;21150
93;93051;163;2451070;.0023906252;.15461147;5859.5898;.17136866;68183
93;93053;53;2264596;.0012008338;.015616155;2719.4033;.017683638;44136
93;93055;78;2182609;.0013569465;.034026302;2961.6836;.028689146;57482
93;93057;80;2208801;.0033386194;.26969108;7374.3462;.23794864;23962
93;93064;86;2155388;.0018611898;.081418872;4011.5862;.053388257;46207
93;93066;51;2399702;.00045890134;.0049867574;1101.2264;.0049867574;111135
93;93070;75;2184032;.0014674807;.043596201;3205.0247;.04344216;51108
93;93077;188;2628013;.0062741959;.67408568;16488.668;.67850608;29964
94;94002;78;2146878;.0017775347;.060575005;3816.1501;.048530549;43881
94;94003;66;2225945;.0030696248;.2359004;6832.8159;.20264193;21501
94;94016;166;2347531;.0053429464;.58917743;12542.732;.53763258;31069
94;94017;161;2536146;.0020739406;.11446062;5259.8159;.11726816;77630
94;94018;475;2363337;.015638376;.89731365;36958.75;.88136411;30374
94;94022;77;2423825;.0016986169;.055249289;4117.1499;.068187803;45331
94;94028;244;2171684;.0026930082;.18826471;5848.3628;.16830921;90605
94;94033;607;2787057;.011466027;.83801866;31956.471;.853571;52939
94;94034;64;2201585;.0023019926;.13950339;5068.0327;.10922832;27802
94;94038;199;2164239;.0063773873;.67651993;13802.19;.5998885;31204
94;94041;114;2134149;.0018371688;.068870246;3920.792;.051314894;62052
94;94043;66;2022728;.0026051947;.17265274;5269.6001;.11975115;25334
94;94046;314;2380643;.0056419009;.60591376;13431.353;.59618968;55655
94;94052;760;2844134;.023134761;.92711306;65798.359;.9255724;32851
94;94058;464;2408563;.0136958;.86995113;32987.195;.86219954;33879
94;94067;821;2976369;.036296919;.96901321;108033.02;.96901304;22619
94;94068;1678;2697372;.022415474;.92563897;60462.875;.91724014;74859
94;94071;201;2259509;.0075929286;.7289902;17156.289;.68483531;26472
94;94073;133;2364987;.0045835199;.50083268;10839.965;.43123952;29017
94;94076;110;2347383;.0020090223;.10107855;4715.9448;.094503395;54753
94;94079;80;2164832;.0028113578;.21040604;6086.1177;.18167108;28456
94;94080;1082;2422250;.021687279;.92024493;52532.012;.90687025;49891
